C07C1/00	いずれも炭化水素でない１個またはそれ以上の化合物からの炭化水素の製造
C07C301/00	亜硫酸エステル（環状エステルＣ０７Ｄ）
C07C301/02	亜硫酸基が６員芳香環の炭素原子に結合しているもの
C07C303/00	硫酸エステルまたはアミドの製造；スルホン酸またはそのエステル，ハライド，無水物またはアミドの製造
C07C303/02	スルホン酸またはそのハロゲン化物の製造
C07C303/04	水素原子をスルホ基またはハロスルホニル基で置換することによるもの
C07C303/06	硫酸または三酸化イオウとの反応によるもの
C07C303/08	ハロゲノスルホン酸との反応によるもの
C07C303/10	二酸化イオウおよびハロゲンとの反応またはハロゲン化スルフリルとの反応によるもの
C07C303/12	ハロゲン化チオニルとの反応によるもの
C07C303/14	スルホキシデーションすなわちスルホ基またはハロスルホニル基の形成を伴う二酸化硫黄および酸素との反応によるもの
C07C303/16	スルホ基またはハロスルホニル基の形成を伴うチオール，スルフイド，ヒドロポリスルフィドまたはポリスルフィドの酸化によるもの
C07C303/18	スルホ基またはハロスルホニル基の形成を伴う置換可能な基を持つ化合物とスルフィドの反応によるもの
C07C303/20	炭素―炭素多重結合を持つ化合物に亜硫酸またはその塩を付加することによるもの
C07C303/22	スルホ基またはハロスルホニル基の形成が関与しない反応によるスルホン酸からのもの；　｛ハロスルホニル基の形成が関与しない反応によるスルホン酸ハライドからのもの｝
C07C303/24	硫酸エステルの製造
C07C303/26	スルホン酸エステルの製造
C07C303/28	ヒドロキシ化合物とスルホン酸またはその誘導体との反応によるもの
C07C303/30	エステル化されたスルホ基の形成が関与しない反応によるもの
C07C303/32	スルホン酸塩の製造
C07C303/34	硫酸アミドの製造
C07C303/36	スルホン酸アミドの製造
C07C303/38	アンモニアまたはアミンとスルホン酸，またはそのエステル，無水物またはハロゲン化物との反応によるもの
C07C303/40	スルホンアミド基の形成が関与しない反応によるもの
C07C303/42	分離；精製；安定化；添加剤の使用
C07C303/44	分離；精製
C07C303/46	鉱油を硫酸で精製する際の副生成物からのもの
C07C305/00	硫酸エステル（環状エステルＣ０７Ｄ）
C07C305/02	硫酸基の酸素原子が炭素骨格の非環式炭素原子に結合しているもの
C07C305/04	非環式で飽和のもの
C07C305/06	硫酸水素エステル
C07C305/08	硫酸ジアルキル；置換硫酸ジアルキル
C07C305/10	炭素骨格がさらに単結合の酸素原子で置換されたもの
C07C305/12	飽和で環を含有するもの
C07C305/14	非環式で不飽和のもの
C07C305/16	不飽和で環を含有するもの
C07C305/18	６員芳香環を含有するもの
C07C305/20	硫酸基の酸素原子が６員芳香環以外の環の炭素原子に結合しているもの
C07C305/22	硫酸基の酸素原子が６員芳香環の炭素原子に結合しているもの
C07C305/24	非縮合６員芳香環の
C07C305/26	ハロゲノ硫酸エステル，すなわちハロゲノ硫酸のモノエステル
C07C307/00	硫酸のアミド，すなわち硫酸基の単結合で結合している酸素原子がニトロまたはニトロソ基の一部ではない窒素原子で置換された化合物
C07C307/02	硫酸またはそのエステルのモノアミド，例．スルファミン酸
C07C307/04	硫酸のジアミド
C07C307/06	スルフアミド基の窒素原子が非環式炭素原子に結合しているもの
C07C307/08	スルフアミド基の窒素原子が６員芳香環以外の環の炭素原子に結合しているもの
C07C307/10	スルフアミド基の窒素原子が６員芳香環の炭素原子に結合しているもの
C07C309/00	スルホン酸；そのハライド，エステルまたは無水物
C07C309/01	スルホン酸
C07C309/02	スルホン酸基が非環式炭素原子に結合しているもの
C07C309/03	非環式飽和炭素骨格の
C07C309/04	ただ１個のスルホン酸基を含有するもの
C07C309/05	炭素骨格に結合している少なくとも２個のスルホン酸基を含有するもの
C07C309/06	炭素骨格に結合しているハロゲン原子またはニトロもしくはニトロソ基を含有するもの
C07C309/07	炭素骨格に結合している酸素原子を含有するもの
C07C309/08	炭素骨格に結合している水酸基を含有するもの
C07C309/09	炭素骨格に結合しているエーテル化された水酸基を含有するもの
C07C309/10	少なくとも１個のエーテル化された水酸基の酸素原子がさらに非環式炭素原子に結合しているもの
C07C309/11	少なくとも１個のエーテル化された水酸基の酸素原子がさらに６員芳香環の炭素原子に結合しているもの
C07C309/12	炭素骨格に結合しているエステル化された水素基を含有するもの
C07C309/13	炭素骨格に結合しているニトロまたはニトロソ基の一部でない窒素原子を含有するもの
C07C309/14	炭素骨格に結合しているアミノ基を含有するもの
C07C309/15	少なくとも１個のアミノ基の窒素原子が以下の基[ｆｏｒｍｕｌａ:ｆｉｇ４１．ｇｉｆ｝のいずれかの一部となっているもの，Ｘは異種原子，Ｙは任意の原子を表わす
C07C309/16	炭素骨格に結合している二重結合の窒素原子を含有するもの
C07C309/17	炭素骨格に結合しているカルボキシル基を含有するもの
C07C309/18	同じ炭素骨格に結合したアミノ基を含有するもの
C07C309/19	環を含有する飽和炭素骨格の
C07C309/20	非環式不飽和炭素骨格の
C07C309/21	炭素骨格に結合しているニトロまたはニトロソ基の一部でない窒素原子を含有するもの
C07C309/22	炭素骨格に結合しているカルボキシル基を含有するもの
C07C309/23	６員芳香環以外の環を含有する不飽和炭素骨格の
C07C309/24	６員芳香環を含有する不飽和炭素骨格の
C07C309/25	スルホン酸基が炭素骨格の６員芳香環以外の環の炭素原子に結合しているもの
C07C309/26	炭素骨格に結合しているニトロまたはニトロソ基の一部でない窒素原子を含有するもの
C07C309/27	炭素骨格に結合しているカルボキシル基を含有するもの
C07C309/28	スルホン酸基が炭素骨格の６員芳香環の炭素原子に結合しているもの
C07C309/29	非縮合６員芳香環の
C07C309/30	アルキル基置換６員芳香環の
C07C309/31	少なくとも３個の炭素原子を含有するアルキル基で置換されたもの
C07C309/32	炭素骨格に少なくとも２個の非縮合６員芳香環を含有するもの
C07C309/33	６員芳香環が縮合環系の一部であるもの
C07C309/34	２個の環から成るもの
C07C309/35	ナフタレンスルホン酸
C07C309/36	アルキル基で置換されているもの
C07C309/37	アルキル基が少なくとも３個の炭素原子を含有するもの
C07C309/38	少なくとも３個の環から成るもの
C07C309/39	炭素骨格に結合しているハロゲン原子を含有するもの
C07C309/40	炭素骨格に結合しているニトロまたはニトロソ基を含有するもの
C07C309/41	炭素骨格に結合している単結合の酸素原子を含有するもの
C07C309/42	非縮合６員芳香環環の炭素原子に結合しているスルホン酸基をもつもの
C07C309/43	縮合環系の一部である６員芳香環の炭素原子に結合している少なくとも１個のスルホン酸基をもつもの
C07C309/44	炭素骨格に結合している二重結合の酸素原子を含有するもの
C07C309/45	炭素骨格に結合しているニトロまたはニトロソ基の一部でない窒素原子を含有するもの
C07C309/46	非縮合６員芳香環の炭素原子に結合しているスルホン酸基をもつもの
C07C309/47	縮合環系の一部である６員芳香環の炭素原子に結合している少なくとも１個のスルホン酸基をもつもの
C07C309/48	炭素骨格がさらにハロゲン原子で置換されたもの
C07C309/49	炭素骨格がさらに単結合の酸素原子で置換されたもの
C07C309/50	縮合環系の一部である６員芳香環の炭素原子に結合している少なくとも１個のスルホン酸基をもつもの
C07C309/51	少なくとも１個の窒素原子が以下の基[ｆｏｒｍｕｌａ:ｆｉｇ４２．ｇｉｆ｝のいずれかの一部となっているもの，Ｘは異種原子，Ｙは任意の原子を表わす
C07C309/52	炭素骨格がさらに二重結合の酸素原子で置換されたもの
C07C309/53	炭素骨格がキノン環の炭素原子を含有するもの
C07C309/54	少なくとも１個の窒素原子が以下の基[ｆｏｒｍｕｌａ:ｆｉｇ４２．ｇｉｆ｝のいずれかの一部となっているもの，Ｘは異種原子，Ｙは任意の原子を表わす
C07C309/55	Ｙが水素または炭素原子であるもの
C07C309/56	Ｙが異種原子であるもの
C07C309/57	炭素骨格に結合しているカルボキシル基を含有するもの
C07C309/58	カルボン酸基またはそのエステル
C07C309/59	カルボキシル基の窒素同族体
C07C309/60	炭素骨格がさらに単結合の酸素原子で置換されたもの
C07C309/61	炭素骨格がさらにニトロまたはニトロソ基の一部でない窒素原子で置換されたもの
C07C309/62	構造不明のスルホン化脂肪，脂肪油またはワックス（石油ワックスの化学的変性Ｃ１０Ｇ７３／３８）　｛ビチューミノスルホン酸Ｃ０７Ｇ９／００｝
C07C309/63	スルホン酸エステル
C07C309/64	エステル化されたスルホン酸基の硫黄原子が非環式炭素原子に結合しているもの
C07C309/65	飽和炭素骨格の
C07C309/66	メタンスルホン酸エステル
C07C309/67	不飽和炭素骨格の
C07C309/68	単結合の酸素原子で置換された炭素骨格の
C07C309/69	ニトロまたはニトロソ基の一部でない窒素原子で置換された炭素骨格の
C07C309/70	カルボキシル基で置換された炭素骨格の
C07C309/71	エステル化されたスルホン酸基の硫黄原子が６員芳香環以外の環の炭素原子に結合しているもの
C07C309/72	エステル化されたスルホン酸基の硫黄原子が６員芳香環の炭素原子に結合しているもの
C07C309/73	非縮合６員芳香環の炭素原子に結合しているもの
C07C309/74	縮合環系の一部である６員芳香環の炭素原子に結合しているもの
C07C309/75	炭素骨格に結合している単結合の酸素原子を含有するもの
C07C309/76	炭素骨格に結合しているニトロまたはニトロソ基の一部でない窒素原子を含有するもの
C07C309/77	炭素骨格に結合しているカルボキシル基を含有するもの
C07C309/78	スルホン酸ハライド
C07C309/79	非環式炭素原子に結合しているハロスルホニル基をもつもの
C07C309/80	飽和炭素骨格の
C07C309/81	不飽和炭素骨格の
C07C309/82	単結合の酸素原子で置換された炭素骨格の
C07C309/83	ニトロまたはニトロソ基の一部でない窒素原子で置換された炭素骨格の
C07C309/84	カルボキシル基で置換された炭素骨格の
C07C309/85	６員芳香環以外の環の炭素原子に結合しているハロスルホニル基をもつもの
C07C309/86	６員芳香環の炭素原子に結合しているハロスルホニル基をもつもの
C07C309/87	炭素骨格に結合している単結合の酸素原子を含有するもの
C07C309/88	炭素骨格に結合しているニトロまたはニトロソ基の一部でない窒素原子を含有するもの
C07C309/89	炭素骨格に結合しているカルボキシル基を含有するもの
C07C311/00	スルホン酸アミド，すなわちスルホン酸基の単結合で結合している酸素原子がニトロまたはニトロソ基の一部でない窒素原子で置き換えられている化合物
C07C311/01	スルホン酸アミド基の硫黄原子が非環式炭素原子に結合しているもの
C07C311/02	非環式飽和炭素骨格の
C07C311/03	スルホン酸アミド基の窒素原子が水素原子または非環式炭素原子に結合しているもの
C07C311/04	単結合の酸素原子で置換された炭化水素基の非環式炭素原子に結合しているもの
C07C311/05	ニトロまたはニトロソ基の一部でない窒素原子で置換された炭化水素基の非環式炭素原子に結合しているもの
C07C311/06	カルボキシル基で置換された炭化水素基の非環式炭素原子に結合しているもの
C07C311/07	少なくとも１個のスルホン酸アミド基の窒素原子が６員芳香環以外の環の炭素原子に結合しているもの
C07C311/08	少なくとも１個のスルホン酸アミド基の窒素原子が６員芳香環の炭素原子に結合しているもの
C07C311/09	炭素骨格がさらに少なくとも２個のハロゲン原子で置換されたもの
C07C311/10	環を含有する飽和炭素骨格の
C07C311/11	非環式不飽和炭素骨格の
C07C311/12	環を含有する不飽和炭素骨格の
C07C311/13	炭素骨格が６員芳香環を含有するもの
C07C311/14	スルホン酸アミド基の硫黄原子が６員芳香環以外の環の炭素原子に結合しているもの
C07C311/15	スルホン酸アミド基の硫黄原子が６員芳香環の炭素原子に結合しているもの
C07C311/16	少なくとも１個のスルホン酸アミド基の窒素原子が水素原子または非環式炭素原子に結合しているもの
C07C311/17	単結合の酸素原子で置換された炭化水素基の非環式炭素原子に結合しているもの
C07C311/18	ニトロまたはニトロソ基の一部でない窒素で置換された炭化水素基の非環式炭素原子に結合しているもの
C07C311/19	カルボキシル基で置換された炭化水素基の非環式炭素原子に結合しているもの
C07C311/20	少なくとも１個のスルホン酸アミド基の窒素原子が６員芳香環以外の環の炭素原子に結合しているもの
C07C311/21	少なくとも１個のスルホン酸アミド基の窒素原子が６員芳香環の炭素原子に結合しているもの
C07C311/22	酸部分の炭素骨格がさらに単結合の酸素原子で置換されたスルホン酸アミド
C07C311/23	スルホン酸アミド基の硫黄原子が非環式炭素原子に結合しているもの
C07C311/24	非環式飽和炭素骨格の
C07C311/25	環を含有する飽和炭素の骨格の
C07C311/26	非環式不飽和炭素骨格の
C07C311/27	環を含有する不飽和炭素骨格の
C07C311/28	少なくとも１個のスルボン酸アミド基の硫黄原子が６員芳香環以外の環の炭素原子に結合しているもの
C07C311/29	少なくとも１個のスルホン酸アミド基の硫黄原子が６員芳香環の炭素原子に結合しているもの
C07C311/30	酸部分の炭素骨格がさらにニトロまたはニトロソ基の一部でない単結合の窒素原子で置換されたスルホン酸アミド
C07C311/31	スルホン酸アミド基の硫黄原子が非環式炭素原子に結合しているもの
C07C311/32	非環式飽和炭素骨格の
C07C311/33	環を含有する飽和炭素骨格の
C07C311/34	非環式不飽和炭素骨格の
C07C311/35	環を含有する不飽和炭素骨格の
C07C311/36	少なくとも１個のスルホン酸アミド基の硫黄原子が６員芳香環以外の環の炭素原子に結合しているもの
C07C311/37	少なくとも１個のスルホン酸アミド基の硫黄原子が６員芳香環の炭素原子に結合しているもの
C07C311/38	スルホン酸アミド基の硫黄原子と同じ炭素骨格の６員環の炭素原子に結合したアミノ基をもつもの
C07C311/39	少なくとも１個のスルホン酸アミド基の窒素原子が水素原子または非環式炭素原子に結合しているもの
C07C311/40	単結合の酸素原子で置換された炭化水素基の非環式炭素原子に結合しているもの
C07C311/41	ニトロまたはニトロソ基の一部でない窒素原子で置換された炭化水素基の非環式炭素原子に結合しているもの
C07C311/42	カルボキシル基で置換された炭化水素基の非環式炭素原子に結合しているもの
C07C311/43	少なくとも１個のスルホン酸アミド基の窒素原子が６員芳香環以外の環の炭素原子に結合しているもの
C07C311/44	少なくとも１個のスルホン酸アミド基の窒素原子が６員芳香環の炭素原子に結合しているもの
C07C311/45	少なくとも１個の単結合の窒素原子が以下の基[ｆｏｒｍｕｌａ:ｆｉｇ４２．ｇｉｆ｝のいずれかの一部となっているもの，Ｘは異種原子，Ｙは任意の原子を表わす，例．Ｎ―アシルアミノスルホンアミド
C07C311/46	Ｙが水素または炭素原子であるもの
C07C311/47	Ｙが異種原子であるもの
C07C311/48	スルホン酸アミド基の窒素原子がさらに他の異種原子に結合しているもの
C07C311/49	窒素原子に結合しているもの
C07C311/50	以下の基[ｆｏｒｍｕｌａ:ｆｉｇ４３．ｇｉｆ｝のいずれを含有する化合物，Ｘは異種原子，Ｙは任意の原子を表わす
C07C311/51	Ｙは水素または炭素原子であるもの
C07C311/52	Ｙが異種原子であるもの
C07C311/53	ＸとＹが窒素原子でないもの，例．Ｎ―スルホニルカルバミン酸
C07C311/54	ＸとＹのいずれか一方のみが窒素原子であるもの，例．Ｎ―スルホニル尿素
C07C311/55	スルホニル尿素基の硫黄原子が非環式炭素原子に結合しているもの
C07C311/56	スルホニル尿素基の硫黄原子が６員芳香環以外の環の炭素原子に結合しているもの
C07C311/57	スルホニル尿素基の硫黄原子が６員芳香環の炭素原子に結合しているもの
C07C311/58	スルホニル尿素基の窒素原子が水素原子または非環式炭素原子に結合しているもの
C07C311/59	スルホニル尿素基の窒素原子が６員芳香環以外の環の炭素原子に結合しているもの
C07C311/60	スルホニル尿素基の窒素原子が６員芳香環の炭素原子に結合しているもの
C07C311/61	スルホニル尿素基の窒素原子がさらに他の異種原子に結合しているもの
C07C311/62	スルホニル尿素基の窒素原子がさらにアシル化されているもの
C07C311/63	Ｎ―スルホニルイソ尿素
C07C311/64	ＸとＹが窒素原子であるもの，例．Ｎ―スルホニルグアニジン
C07C311/65	Ｎ―スルホニルイソシアナート
C07C313/00	スルフイン酸；スルフェン酸；それらのハライド，エステルまたは無水物；スルフィン酸またはスルフェン酸のアミド，すなわちスルフイン酸またはスルフェン酸の単結合で結合している酸素原子がニトロ基またはニトロソ基の一部でない窒素原子で置き換えられている化合物
C07C313/02	スルフィン酸；その誘導体
C07C313/04	スルフィン酸；そのエステル
C07C313/06	スルフィン酸アミド
C07C313/08	スルフェン酸；その誘導体
C07C313/10	スルフェン酸；そのエステル
C07C313/12	スルフェン酸の硫黄原子が非環式炭素原子に結合しているもの
C07C313/14	スルフェン酸の硫黄原子が６員芳香環以外の環の炭素原子に結合しているもの
C07C313/16	スルフェン酸の硫黄原子が６員芳香環の炭素原子に結合しているもの
C07C313/18	スルフェン酸アミド
C07C313/20	スルフェン酸アミド基の硫黄原子が非環式炭素原子に結合しているもの
C07C313/22	スルフェン酸アミド基の硫黄原子が６員芳香環以外の環の炭素原子に結合しているもの
C07C313/24	スルフェン酸アミド基の硫黄原子が６員芳香環の炭素原子に結合しているもの
C07C313/26	以下の基[ｆｏｒｍｕｌａ:ｆｉｇ４４．ｇｉｆ｝のいずれかを含有する化合物，Ｘは異種原子，Ｙは任意の原子を表わす
C07C313/28	Ｙが水素または炭素原子であるもの
C07C313/30	Ｙが異種原子であるもの
C07C313/32	ＸとＹが窒素原子でないもの，例．Ｎ―スルフェニルカルバミン酸
C07C313/34	ＸとＹのいずれか一方のみ窒素原子であるもの，例．Ｎ―スルフェニル尿素
C07C313/36	スルフェン酸アミド基の窒素原子がさらに他の異種原子に結合しているもの
C07C313/38	Ｎ―スルフェニルイソシアナート
C07C315/00	スルホンの製造；スルホキシドの製造
C07C315/02	スルフィドの酸化によるスルホンまたはスルホキシド基の形成，またはスルホキシドの酸化によるスルホン基の形成によるもの
C07C315/04	スルホンまたはスルホキシド基の形成が関与しない反応によるもの
C07C315/06	分離；精製；安定化；添加剤の使用
C07C317/00	スルホン；スルホキシド
C07C317/02	スルホンまたはスルホキシド基が非環式炭素原子に結合しているもの
C07C317/04	非環式飽和炭素骨格の
C07C317/06	環を含有する飽和炭素骨格の
C07C317/08	非環式不飽和炭素骨格の
C07C317/10	環を含有する不飽和炭素骨格の
C07C317/12	スルホンまたはスルホキシド基が６員芳香環以外の環の炭素原子に結合しているもの
C07C317/14	スルホンまたはスルホキシド基が６員芳香環の炭素原子に結合しているもの
C07C317/16	スルホンまたはスルホキシド基と単結合の酸素原子が同じ炭素骨格に結合しているもの
C07C317/18	スルホンまたはスルホキシド基が炭素骨格の非環式炭素原子に結合しているもの
C07C317/20	スルホンまたはスルホキシド基が炭素骨格の６員芳香環以外の環の炭素原子に結合しているもの
C07C317/22	スルホンまたはスルホキシド基が炭素骨格の６員芳香環の炭素原子に結合しているもの
C07C317/24	スルホンまたはスルホキシド基と二重結合の酸素原子が同じ炭素骨格に結合しているもの
C07C317/26	スルホンまたはスルホキシド基とニトロまたはニトロソ基の一部でない窒素原子が同じ炭素骨格に結合しているもの
C07C317/28	スルホンまたはスルホキシド基が炭素骨格の非環式炭素原子に結合しているもの
C07C317/30	スルホンまたはスルホキシド基が炭素骨格の６員芳香環以外の環の炭素原子に結合しているもの
C07C317/32	スルホンまたはスルホキシド基が炭素骨格の６員芳香環の炭素原子に結合しているもの
C07C317/34	スルホンまたはスルホキシド基とアミノ基が同じ非縮合環の一部である６員芳香環または６員芳香環を含有する縮合環系の炭素原子に結合しているもの
C07C317/36	アミノ基の窒素原子が水素原子または炭素原子に結合しているもの
C07C317/38	少なくとも１個のアミノ基の窒素原子が以下の基[ｆｏｒｍｕｌａ:ｆｉｇ４１．ｇｉｆ｝のいずれかの一部であるもの，Ｘは異種原子，Ｙは任意の原子を表わす，例．Ｎ―アシルアミノスルホン
C07C317/40	Ｙが水素または炭素原子であるもの
C07C317/42	Ｙが異種原子であるもの
C07C317/44	スルホンまたはスルホキシド基とカルボキシル基が同じ炭素骨格に結合しているもの
C07C317/46	炭素骨格がさらに単結合の酸素原子で置換されたもの
C07C317/48	炭素骨格がさらにニトロまたはニトロソ基の一部でない単結合の窒素原子で置換されたもの
C07C317/50	少なくとも１個の窒素原子が以下の基[ｆｏｒｍｕｌａ:ｆｉｇ４２．ｇｉｆ｝のいずれかの一部となっているもの，Ｘは異種原子，Ｙは任意の原子を表わす
C07C319/00	チオール，スルフィド，ヒドロポリスルフィドまたはポリスルフィドの製造
C07C319/02	チオールの製造
C07C319/04	不飽和化合物に硫化水素またはその塩を付加させることによるもの
C07C319/06	スルフィド，ヒドロポリスルフィドまたはポリスルフィドからのもの
C07C319/08	水酸基またはエーテル化もしくはエステル化された水酸基の置換によるもの
C07C319/10	６員芳香環の炭素原子に結合した水酸基またはエーテル化もしくはエステル化された水酸基の置換によるもの
C07C319/12	メルカプト基の形成が関与しない反応によるもの
C07C319/14	スルフィドの製造
C07C319/16	不飽和化合物に硫化水素またはその塩を付加させることによるもの
C07C319/18	不飽和化合物にチオールを付加させることによるもの
C07C319/20	スルフィド基の形成が関与しない反応によるもの
C07C319/22	ヒドロポリスルフィドまたはポリスルフィドの製造
C07C319/24	硫黄―硫黄結合の形成が関与する反応によるもの
C07C319/26	分離；精製；安定化；添加剤の使用
C07C319/28	分離；精製
C07C319/30	鉱油精製の副産物からのもの
C07C321/00	チオール，スルフィド，ヒドロポリスルフィドまたはポリスルフィド
C07C321/02	非環式炭素原子に結合しているメルカプト基をもつチオール
C07C321/04	非環式飽和炭素骨格の
C07C321/06	環を含有する飽和炭素骨格の
C07C321/08	非環式不飽和炭素骨格の
C07C321/10	環を含有する不飽和炭素骨格の
C07C321/12	非環式炭素原子に結合したチオ基をもつスルフィド，ヒドロポリスルフィドまたはポリスルフィド
C07C321/14	非環式飽和炭素骨格の
C07C321/16	環を含有する飽和炭素骨格の
C07C321/18	非環式不飽和炭素骨格の
C07C321/20	環を含有する不飽和炭素骨格の
C07C321/22	６員芳香環以外の環の炭素原子に結合しているチオ基をもつチオール，スルフィド，ヒドロポリスルフィドまたはポリスルフィド
C07C321/24	６員芳香環の炭素原子に結合しているチオ基をもつチオール，スルフイド，ヒドロポリスルフィドまたはポリスルフィド
C07C321/26	チオール
C07C321/28	６員芳香環の炭素原子に結合しているチオ基をもつスルフィド，ヒドロポリスルフィドまたはポリスルフィド
C07C321/30	少なくとも１個のチオ基の硫黄原子が６員芳香環の２個の炭素原子に結合しているスルフィド
C07C323/00	ハロゲン，酸素，窒素原子またはチオ基の一部でない硫黄原子で置換されたチオール，スルフィド，ヒドロポリスルフィドまたはポリスルフィド
C07C323/01	チオ基と同じ炭素骨格に結合しているハロゲン原子またはニトロもしくはニトロソ基を含有するもの
C07C323/02	チオ基の硫黄原子が炭素骨格の非環式炭素原子結合しているもの
C07C323/03	炭素骨格が非環式で飽和のもの
C07C323/04	炭素骨格が飽和で環を含有するもの
C07C323/05	炭素骨格が非環式で不飽和のもの
C07C323/06	炭素骨格が不飽和で６員芳香環以外の環を含有するもの
C07C323/07	炭素骨格が６員芳香環を含有するもの
C07C323/08	チオ基の硫黄原子が炭素骨格の６員芳香環以外の環の炭素原子に結合しているもの
C07C323/09	チオ基の硫黄原子が炭素骨格の６員芳香環の炭素原子に結合しているもの
C07C323/10	チオ基と同じ炭素骨格に結合している単結合の酸素原子を含有するもの
C07C323/11	チオ基の硫黄原子が炭素骨格の非環式炭素原子に結合しているもの
C07C323/12	炭素骨格が非環式で飽和のもの
C07C323/13	炭素骨格が飽和で環を含有するもの
C07C323/14	炭素骨格が非環式で不飽和のもの
C07C323/15	炭素骨格が不飽和で６員芳香環以外の環を含有するもの
C07C323/16	炭素骨格が６員芳香環を含有するもの
C07C323/17	少なくとも１個のチオ基の硫黄原子が炭素骨格の６員芳香環以外の環の炭素原子に結合しているもの
C07C323/18	少なくとも１個のチオ基の硫黄原子が炭素骨格の６員芳香環の炭素原子に結合しているもの
C07C323/19	炭素骨格の非環式炭素原子に結合している単結合の酸素原子をもつもの
C07C323/20	同じ非縮合６員芳香環の炭素原子に結合している単結合の酸素原子をもつもの
C07C323/21	チオ基の硫黄原子が縮合環系の一部である６員芳香環の炭素原子に結合しているもの
C07C323/22	チオ基と同じ炭素骨格に結合している二重結合の酸素原子を含有するもの
C07C323/23	チオ基と同じ炭素骨格に結合しているニトロまたはニトロソ基の一部でない窒素原子を含有するもの
C07C323/24	チオ基の硫黄原子が炭素骨格の非環式炭素原子に結合しているもの
C07C323/25	炭素骨格が非環式で飽和のもの
C07C323/26	炭素骨格が飽和で環を含有するもの
C07C323/27	炭素骨格が非環式で不飽和のもの
C07C323/28	炭素骨格が不飽和で６員芳香環以外の環を含有するもの
C07C323/29	炭素骨格が６員芳香環を含有するもの
C07C323/30	少なくとも１個のチオ基の硫黄原子が炭素骨格の６員芳香環以外の環の炭素原子に結合しているもの
C07C323/31	少なくとも１個のチオ基の硫黄原子が炭素骨格の６員芳香環の炭素原子に結合しているもの
C07C323/32	少なくとも１個の窒素原子が炭素骨格の非環式炭素原子に結合しているもの
C07C323/33	少なくとも１個の窒素原子が同じ非縮合６員芳香環の炭素原子に結合しているもの
C07C323/34	チオ基がメルカプト基であるもの
C07C323/35	チオ基がスルフィド基であるもの
C07C323/36	スルフィド基の硫黄原子が非環式炭素原子に結合しているもの
C07C323/37	スルフィド基の硫黄原子が６員芳香環の炭素原子に結合しているもの
C07C323/38	チオ基の硫黄原子が縮合環系の一部である６員芳香環の炭素原子に結合しているもの
C07C323/39	少なくとも１個の窒素原子が以下の基[ｆｏｒｍｕｌａ:ｆｉｇ４１．ｇｉｆ｝のいずれかの一部となっているもの，Ｘは異種原子，Ｙは任意の原子を表わす
C07C323/40	Ｙが水素または炭素原子であるもの
C07C323/41	Ｙが水素または非環式炭素原子であるもの
C07C323/42	Ｙが６員芳香環の炭素原子であるもの
C07C323/43	Ｙが異種原子であるもの
C07C323/44	ＸまたはＹが窒素原子であるもの
C07C323/45	少なくとも１個の窒素原子が炭素骨格に二重結合で結合しているもの
C07C323/46	少なくとも１個の窒素原子がさらに他の異種原子に結合し，ニトロまたはニトロソ基の一部でないもの
C07C323/47	酸素原子に結合しているもの
C07C323/48	窒素原子に結合しているもの
C07C323/49	硫黄原子に結合しているもの
C07C323/50	チオ基と同じ炭素骨格に結合しているカルボキシル基を含有するもの
C07C323/51	チオ基の硫黄原子が炭素骨格の非環式炭素原子に結合しているもの
C07C323/52	炭素骨格が非環式で飽和のもの
C07C323/53	炭素骨格が飽和で環を含有するもの
C07C323/54	炭素骨格が非環式で不飽和のもの
C07C323/55	炭素骨格が不飽和で６員芳香環以外の環を含有するもの
C07C323/56	炭素骨格が６員芳香環を含有するもの
C07C323/57	炭素骨格がさらにニトロまたはニトロソ基の一部でない窒素原子で置換されているもの
C07C323/58	炭素骨格に結合しているアミノ基をもつもの
C07C323/59	炭素骨格に結合しているアシル化されたアミノ基をもつもの
C07C323/60	少なくとも１個のカルボキシル基の炭素原子が窒素原子に結合しているもの
C07C323/61	少なくとも１個のチオ基の硫黄原子が炭素骨格の６員芳香環以外の環の炭素原子に結合しているもの
C07C323/62	少なくとも１個のチオ基の硫黄原子が炭素骨格の６員芳香環の炭素原子に結合しているもの
C07C323/63	炭素骨格がさらにニトロまたはニトロソ基の一部でない窒素原子で置換されたもの
C07C323/64	チオ基と同じ炭素骨格に結合したチオ基の一部でない硫黄原子を含有するもの
C07C323/65	スルホンまたはスルホキシド基の硫黄原子が炭素骨格に結合しているもの
C07C323/66	スルホン酸基，エステル化されたスルホン酸基またはハロスルホニル基の硫黄原子が炭素骨格に結合しているもの
C07C323/67	スルホン酸アミド基の硫黄原子が炭素骨格に結合しているもの
C07C325/00	チオアルデヒド；チオケトン；チオキノン；それらのオキシド
C07C325/02	チオケトン；それらのオキシド
C07C325/04	チオキノン；それらのオキシド
C07C327/00	チオカルボン酸
C07C327/02	モノチオカルボン酸
C07C327/04	チオカルボキシル基の炭素原子が水素原子または非環式炭素原子に結合しているもの
C07C327/06	水素原子または非環式飽和炭素骨格の炭素原子に結合しているもの
C07C327/08	環を含有する飽和炭素骨格の炭素原子に結合しているもの
C07C327/10	非環式不飽和炭素骨格の炭素原子に結合しているもの
C07C327/12	環を含有する不飽和炭素骨格の炭素原子に結合しているもの
C07C327/14	チオカルボキシル基の炭素原子が６員芳香環以外の環の炭素原子に結合しているもの
C07C327/16	チオカルボキシル基の炭素原子が６員芳香環の炭素原子に結合しているもの
C07C327/18	ジチオカルボン酸
